"user_id","game_name","payment_date","revenue_amount_usd","p_month","month_rev","prev_month","prev_month_rev","next_month","next_month_rev"
eoqO46DzxSrKA2rredUNyQ==,game 3,2022-10-03,16.02,2022-10-01,16.02,2022-09-01,13.89,,
xiXTXOEbWU+HnGOUmgc9/w==,game 3,2022-05-06,21.03,2022-05-01,105.15,2022-04-01,99.84,2022-06-01,75.30
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,2022-08-02,15.51,2022-08-01,139.59,,,2022-09-01,220.08
e/6IajqZ922YY1rh2ErMJQ==,game 3,2022-11-06,17.61,2022-11-01,211.32,2022-10-01,196.32,2022-12-01,359.82
QoHEss2e+b385deeX2p39Q==,game 3,2022-06-06,22.68,2022-06-01,90.72,,,2022-07-01,99.48
zeu++qOqokuGcT0ghN97bQ==,game 3,2022-10-15,19.2,2022-10-01,19.2,,,,
q/Tz1C31XWaBUDrRn2ezDw==,game 3,2022-07-03,18.51,2022-07-01,74.04,2022-06-01,72.48,,
ORSvkhCut21rsk0cVtJfJA==,game 3,2022-09-13,29.82,2022-09-01,59.64,,,2022-10-01,47.61
e/6IajqZ922YY1rh2ErMJQ==,game 3,2022-11-10,21.24,2022-11-01,254.88,2022-10-01,196.32,2022-12-01,359.82
ilnMSoPJHAYMegDX02XG+w==,game 3,2022-05-25,16.71,2022-05-01,33.42,2022-04-01,54.03,,
dUXVADLWvf2uvh+Q6TNrMw==,game 3,2022-11-10,14.49,2022-11-01,57.96,2022-10-01,73.26,2022-12-01,53.16
KFO5m0KyIyGE1D5YZHC8Wg==,game 1,2022-10-02,12.87,2022-10-01,12.87,,,,
eoqO46DzxSrKA2rredUNyQ==,game 3,2022-07-16,28.17,2022-07-01,56.34,2022-06-01,27.0,2022-08-01,43.71
Bcs3CbYx2EpbL9otxlEUmg==,game 3,2022-07-24,20.1,2022-07-01,120.6,2022-06-01,94.14,2022-08-01,146.76
jQW6YmVUlZdePPY7F9NgMg==,game 3,2022-10-11,17.37,2022-10-01,69.48,2022-09-01,48.48,2022-11-01,58.32
BOcGlFXXESDUbttxDzQIQw==,game 3,2022-08-09,21.96,2022-08-01,131.76,,,2022-09-01,99.45
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,2022-10-04,19.29,2022-10-01,77.16,2022-09-01,141.96,2022-11-01,72.93
gxZPbCoYIu8slavUm05KGA==,game 3,2022-10-17,14.91,2022-10-01,29.82,2022-09-01,49.50,2022-11-01,58.44
"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,2022-12-16,12.87,2022-12-01,12.87,,,,
wA+Rd++M6EKUppqQeb+pTw==,game 3,2022-08-10,15.6,2022-08-01,15.6,,,2022-09-01,12.15
AN9at3LlvDamqXq8dvHD4w==,game 3,2022-10-09,13.83,2022-10-01,110.64,2022-09-01,127.86,2022-11-01,275.88
prNQwR2IPPsvGpFgOpcGaQ==,game 3,2022-07-28,16.89,2022-07-01,16.89,,,,
VTaIkhD9hJKcnvA6Kw5p9g==,game 3,2022-10-13,20.1,2022-10-01,100.5,2022-09-01,141.60,2022-11-01,161.94
CfgvA7ntuRJL/qdscwgMVw==,game 3,2022-12-16,17.52,2022-12-01,52.56,2022-11-01,56.40,,
QZBiEFECZAgVl5IkN9/cFw==,game 3,2022-05-01,28.83,2022-05-01,57.66,,,2022-06-01,41.88
"4btLP2zvi8eBV0t08fdkKQ==",game 3,2022-08-12,18.84,2022-08-01,37.68,2022-07-01,40.71,2022-09-01,46.68
VTaIkhD9hJKcnvA6Kw5p9g==,game 3,2022-12-06,20.91,2022-12-01,104.55,2022-11-01,161.94,,
pLOCMIX+imLIzoDehgdOPA==,game 3,2022-08-28,22.2,2022-08-01,555.0,2022-07-01,757.20,2022-09-01,549.45
BTD3ZjLKfkT6ZRBT9zRwtg==,game 3,2022-06-30,23.58,2022-06-01,94.32,2022-05-01,65.73,2022-07-01,51.6
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,2022-09-11,24.99,2022-09-01,2798.88,2022-08-01,2269.05,2022-10-01,2538.72
"7EPlnA7OQ9MhMx+od6FA9g==",game 3,2022-08-24,25.65,2022-08-01,25.65,,,,
ildaqkizLaFesmkjCvlzmQ==,game 3,2022-09-05,28.47,2022-09-01,85.41,2022-08-01,58.23,,
dSGXNzIxO3joRVr1Eem+WQ==,game 3,2022-10-07,13.23,2022-10-01,13.23,2022-09-01,15.72,,
juwM8fLyplCQTgKTP8dJgQ==,game 3,2022-09-17,13.95,2022-09-01,41.85,2022-08-01,40.95,2022-10-01,55.50
"7BqUeLmbiug63XrWs2+ZQQ==",game 3,2022-08-10,13.74,2022-08-01,41.22,2022-07-01,61.41,2022-09-01,42.03
BLnx9pj0y+SVkckLR/01qw==,game 3,2022-12-15,14.37,2022-12-01,28.74,2022-11-01,43.92,,
hi1ErLiMLDP0HWvMqLKv6g==,game 3,2022-09-21,12.69,2022-09-01,76.14,2022-08-01,96.39,2022-10-01,110.22
"6We7zBO7mVbNxGEl/xPKVg==",game 3,2022-10-27,25.8,2022-10-01,154.8,2022-09-01,124.65,2022-11-01,190.86
Jp0hnV9XOJGVV5jpFhlqgQ==,game 3,2022-03-27,25.8,2022-03-01,77.4,,,2022-04-01,56.16
"1BBMagZRq/39AV1l2rm4Iw==",game 3,2022-11-30,20.64,2022-11-01,61.92,2022-10-01,55.80,,
"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,2022-07-02,23.79,2022-07-01,23.79,2022-06-01,25.35,,
jVhb69DTRT5TSWYEiUrlbg==,game 3,2022-06-16,19.08,2022-06-01,76.32,2022-05-01,108.54,2022-07-01,72.42
sCKPcG1GIuOo593nRuu1Cw==,game 3,2022-06-21,27.84,2022-06-01,27.84,,,,
Lug+Yg90jslWgHEN6dc+Ng==,game 3,2022-11-20,13.08,2022-11-01,26.16,,,2022-12-01,33.09
xnLJlU804PSS9tXKmm7gZQ==,game 3,2022-10-11,13.86,2022-10-01,83.16,2022-09-01,98.10,2022-11-01,90.48
"7EPlnA7OQ9MhMx+od6FA9g==",game 3,2022-04-20,32.52,2022-04-01,585.36,2022-03-01,476.01,2022-05-01,307.08
Fx9+2aYPOHAS3fdXpLQ9Pg==,game 3,2022-05-05,15.09,2022-05-01,15.09,,,,
juwM8fLyplCQTgKTP8dJgQ==,game 3,2022-11-18,16.44,2022-11-01,49.32,2022-10-01,55.50,,
e/6IajqZ922YY1rh2ErMJQ==,game 3,2022-06-25,18.36,2022-06-01,110.16,,,2022-07-01,148.98
Jp0hnV9XOJGVV5jpFhlqgQ==,game 3,2022-11-10,19.47,2022-11-01,38.94,2022-10-01,46.89,,
AN9at3LlvDamqXq8dvHD4w==,game 3,2022-07-07,13.71,2022-07-01,27.42,2022-06-01,37.98,2022-08-01,43.23
e/6IajqZ922YY1rh2ErMJQ==,game 3,2022-10-09,15.21,2022-10-01,851.76,2022-09-01,981.96,2022-11-01,1506.24
